id,name,url,root_section_id
1,Constituição da República Portuguesa,/dre/legislacao-consolidada/decreto-aprovacao-constituicao/1976-34520775,1
2,Novo Regime do Arrendamento Urbano (NRAU),/dre/legislacao-consolidada/lei/2006-34578375,51
3,Código dos Contratos Públicos,/dre/legislacao-consolidada/decreto-lei/2008-34455475,105
4,Código do Procedimento Administrativo,/dre/legislacao-consolidada/decreto-lei/2015-105602322,232
5,Código do Trabalho,/dre/legislacao-consolidada/lei/2009-34546475,284
6,Código Penal,/dre/legislacao-consolidada/decreto-lei/1995-34437675,434
7,Código de Processo do Trabalho,/dre/legislacao-consolidada/decreto-lei/1999-34575575,536
8,Código de Processo Penal,/dre/legislacao-consolidada/decreto-lei/1987-34570075,607
9,Código Civil,/dre/legislacao-consolidada/decreto-lei/1966-34509075,718
10,Código de Processo Civil,/dre/legislacao-consolidada/lei/2013-34580575,1206
11,Código das Sociedades Comerciais,/dre/legislacao-consolidada/decreto-lei/1986-34443975,1426
12,Código da Publicidade,/dre/legislacao-consolidada/decreto-lei/1990-34537375,1533
13,Código dos Valores Mobiliários,/dre/legislacao-consolidada/decreto-lei/1999-34575175,1547
14,Código do Registo Predial,/dre/legislacao-consolidada/decreto-lei/1984-34544675,1673
15,Código do Registo Civil,/dre/legislacao-consolidada/decreto-lei/1995-34525275,1719
16,Código do Notariado,/dre/legislacao-consolidada/decreto-lei/1995-34509175,1808
17,Código das Expropriações,/dre/legislacao-consolidada/lei/1999-34538575,1861
18,Código de Justiça Militar,/dre/legislacao-consolidada/lei/2003-34499475,1879
19,Código da Propriedade Industrial,/dre/legislacao-consolidada/decreto-lei/2003-34444175,1920
20,Código do Direito de Autor e dos Direitos Conexos,/dre/legislacao-consolidada/decreto-lei/1985-34475475,2016
21,Código de Procedimento e Processo Tributário,/dre/legislacao-consolidada/decreto-lei/1999-34577575,2051
22,Código da Insolvência e da Recuperação de Empresas,/dre/legislacao-consolidada/decreto-lei/2004-34529075,2132
23,Código da Execução das Penas e Medidas Privativas da Liberdade,/dre/legislacao-consolidada/lei/2009-34515975,2193
24,Código do Imposto sobre o Rendimento das Pessoas Singulares,/dre/legislacao-consolidada/lei/2014-70048167,2269
25,Código do Imposto sobre o Rendimento das Pessoas Coletivas,/dre/legislacao-consolidada/lei/2014-64205634,2301
26,Código da Propriedade Industrial,/dre/legislacao-consolidada/decreto-lei/2018-117279941,2346
